MapUnitKey,RatingStr,RatingNum,RgbString
dummy,dummy,123.456,dummy
2482855,"Low attenuation",,"#FF0000"
2484593,"Moderately high attenuation",,"#7FFF00"
2518848,"Low attenuation",,"#FF0000"
2518849,"Low attenuation",,"#FF0000"
2518852,"Low attenuation",,"#FF0000"
2589227,"Moderately high attenuation",,"#7FFF00"
2589233,"Moderately high attenuation",,"#7FFF00"
2589249,"Low attenuation",,"#FF0000"
2589250,"Low attenuation",,"#FF0000"
2589251,"Low attenuation",,"#FF0000"
2589258,"Moderately high attenuation",,"#7FFF00"
